County,Population
Adair,7228
Adams,3796
Allamakee,13886
Appanoose,12529
Audubon,5773
Benton,25658
Black Hawk,133455
Boone,26643
Bremer,24722
Buchanan,21062
Buena Vista,20493
Butler,14915
Calhoun,9818
Carroll,20498
Cass,13427
Cedar,18340
Cerro Gordo,43017
Cherokee,11574
Chickasaw,12097
Clarke,9259
Clay,16507
Clayton,17644
Clinton,47768
Crawford,17094
Dallas,80133
Davis,8769
Decatur,8220
Delaware,17403
Des Moines,40055
Dickinson,17111
Dubuque,97125
Emmet,9769
Fayette,20257
Floyd,15960
Franklin,10295
Fremont,6906
Greene,9027
Grundy,12435
Guthrie,10676
Hamilton,15190
Hancock,10974
Hardin,17367
Harrison,14265
Henry,19950
Howard,9410
Humboldt,9555
Ida,7028
Iowa,16401
Jackson,19444
Jasper,36827
Jefferson,17555
Johnson,144251
Jones,20466
Keokuk,10163
Kossuth,15165
Lee,35089
Linn,219916
Louisa,11185
Lucas,8682
Lyon,11745
Madison,15753
Mahaska,22324
Marion,33294
Marshall,40746
Mills,14844
Mitchell,10832
Monona,8979
Monroe,7973
Montgomery,10234
Muscatine,43011
O'Brien,13984
Osceola,6154
Page,15527
Palo Alto,9133
Plymouth,24800
Pocahontas,7008
Polk,467711
Pottawattamie,93671
Poweshiek,18550
Ringgold,5068
Sac,10021
Scott,172126
Shelby,11927
Sioux,34937
Story,96021
Tama,17337
Taylor,6205
Union,12469
Van Buren,7344
Wapello,35173
Warren,48626
Washington,22247
Wayne,6385
Webster,37071
Winnebago,10609
Winneshiek,20709
Woodbury,102782
Worth,7569
Wright,12773
