salarytxt,City,State,Population,Density,DPF,MedianHHInc
24000,New York,New York,8537673,27012,230619.62,59799
65600,New York,New York,8537673,27012,230619.62,59799
62693,New York,New York,8537673,27012,230619.62,59799
65977,New York,New York,8537673,27012,230619.62,59799
68000,New York,New York,8537673,27012,230619.62,59799
79249.5,New York,New York,8537673,27012,230619.62,59799
42500,New York,New York,8537673,27012,230619.62,59799
52903.5,New York,New York,8537673,27012,230619.62,59799
62693,New York,New York,8537673,27012,230619.62,59799
64000,New York,New York,8537673,27012,230619.62,59799
100803,New York,New York,8537673,27012,230619.62,59799
75557.5,New York,New York,8537673,27012,230619.62,59799
53600,New York,New York,8537673,27012,230619.62,59799
113000,New York,New York,8537673,27012,230619.62,59799
90981,New York,New York,8537673,27012,230619.62,59799
65977,New York,New York,8537673,27012,230619.62,59799
45000,New York,New York,8537673,27012,230619.62,59799
112500,New York,New York,8537673,27012,230619.62,59799
75557.5,New York,New York,8537673,27012,230619.62,59799
102500,New York,New York,8537673,27012,230619.62,59799
65977,New York,New York,8537673,27012,230619.62,59799
75557.5,New York,New York,8537673,27012,230619.62,59799
90981,New York,New York,8537673,27012,230619.62,59799
180000,New York,New York,8537673,27012,230619.62,59799
135000,New York,New York,8537673,27012,230619.62,59799
97866.5,New York,New York,8537673,27012,230619.62,59799
79249.5,New York,New York,8537673,27012,230619.62,59799
150000,New York,New York,8537673,27012,230619.62,59799
62693,New York,New York,8537673,27012,230619.62,59799
152000,New York,New York,8537673,27012,230619.62,59799
86565,New York,New York,8537673,27012,230619.62,59799
62693,New York,New York,8537673,27012,230619.62,59799
75643,New York,New York,8537673,27012,230619.62,59799
130000,New York,New York,8537673,27012,230619.62,59799
75557.5,New York,New York,8537673,27012,230619.62,59799
97866.5,New York,New York,8537673,27012,230619.62,59799
120186,New York,New York,8537673,27012,230619.62,59799
65977,New York,New York,8537673,27012,230619.62,59799
36800,New York,New York,8537673,27012,230619.62,59799
79249.5,New York,New York,8537673,27012,230619.62,59799
79249.5,New York,New York,8537673,27012,230619.62,59799
144000,Chicago,Illinois,2704958,11842,32032.11,51046
104000,Chicago,Illinois,2704958,11842,32032.11,51046
100000,Chicago,Illinois,2704958,11842,32032.11,51046
72000,Chicago,Illinois,2704958,11842,32032.11,51046
57500,Chicago,Illinois,2704958,11842,32032.11,51046
57500,Chicago,Illinois,2704958,11842,32032.11,51046
38400,Chicago,Illinois,2704958,11842,32032.11,51046
140000,Chicago,Illinois,2704958,11842,32032.11,51046
130000,Chicago,Illinois,2704958,11842,32032.11,51046
44800,Chicago,Illinois,2704958,11842,32032.11,51046
125000,Chicago,Illinois,2704958,11842,32032.11,51046
75000,Chicago,Illinois,2704958,11842,32032.11,51046
95000,Chicago,Illinois,2704958,11842,32032.11,51046
100000,Chicago,Illinois,2704958,11842,32032.11,51046
140000,Chicago,Illinois,2704958,11842,32032.11,51046
122500,Chicago,Illinois,2704958,11842,32032.11,51046
122500,Chicago,Illinois,2704958,11842,32032.11,51046
145000,Chicago,Illinois,2704958,11842,32032.11,51046
75000,Chicago,Illinois,2704958,11842,32032.11,51046
110000,Chicago,Illinois,2704958,11842,32032.11,51046
132500,Chicago,Illinois,2704958,11842,32032.11,51046
160000,Chicago,Illinois,2704958,11842,32032.11,51046
107500,Chicago,Illinois,2704958,11842,32032.11,51046
120000,Chicago,Illinois,2704958,11842,32032.11,51046
80000,Chicago,Illinois,2704958,11842,32032.11,51046
130000,Chicago,Illinois,2704958,11842,32032.11,51046
92500,Chicago,Illinois,2704958,11842,32032.11,51046
115000,Chicago,Illinois,2704958,11842,32032.11,51046
85000,Chicago,Illinois,2704958,11842,32032.11,51046
28800,Chicago,Illinois,2704958,11842,32032.11,51046
95000,Chicago,Illinois,2704958,11842,32032.11,51046
100000,Chicago,Illinois,2704958,11842,32032.11,51046
