City,State,Population, Density ,DPF,Latitude,Longitude,Median HHInc
New York,New York,8537673,27012,230619.62,40.6643,73.9385,59799
Los Angeles,California,3976322,8092,32176.4,34.0194,118.4108,45903
Chicago,Illinois,2704958,11842,32032.11,41.8376,87.6818,51046
Philadelphia,Pennsylvania,1567872,11379,17840.82,40.0094,75.1333,47528
San Francisco,California,870887,17179,14960.97,37.7751,122.4193,63024
Boston,Massachusetts,673184,12793,8612.04,42.332,71.0202,52792
Houston,Texas,2303482,3501,8064.49,29.7805,95.3863,57291
Washington,District of Columbia,681170,9856,6713.61,38.9041,77.0171,57291
San Diego,California,1406630,4020,5654.65,32.8153,117.135,47067
San Jose,California,1025350,5359,5494.85,37.2969,121.8193,63024
Miami,Florida,453579,11539,5233.85,25.7752,80.2086,38632
Seattle,Washington,704352,7251,5107.26,47.6205,122.3509,50733
Baltimore,Maryland,614664,7672,4715.7,39.3002,76.6105,57291
Dallas,Texas,1317929,3518,4636.47,32.7757,96.7967,47418
Phoenix,Arizona,1615017,2798,4518.82,33.5722,112.088,44752
Jersey City,New Jersey,264152,16737,4421.11,,,
Long Beach,California,470130,9191,4320.96,33.9091,118.1553,
San Antonio,Texas,1492510,2880,4298.43,,,
Santa Ana,California,334217,11901,3977.52,,,
Milwaukee,Wisconsin,595047,6188,3682.15,,,
Detroit,Michigan,672795,5144,3460.86,,,
Newark,New Jersey,281764,11458,3228.45,,,
Columbus,Ohio,860090,3624,3116.97,,,
Oakland,California,420005,7004,2941.72,,,
Minneapolis,Minnesota,413651,7088,2931.96,44.9633,93.2683,54304
Portland,Oregon,639863,4375,2799.4,45.573,122.65,46034
Las Vegas,Nevada,632912,4298,2720.26,,,
Denver,Colorado,693060,3923,2718.87,39.7618,104.8806,51088
Paterson,New Jersey,147000,17346,2549.86,,,
Austin,Texas,947890,2653,2514.75,30.3072,97.756,48950
Hialeah,Florida,236387,10474,2475.92,,,
Anaheim,California,351043,6748,2368.84,,,
Sacramento,California,495234,4764,2359.29,,,
Fresno,California,522053,4418,2306.43,,,
Yonkers,New York,200807,10880,2184.78,,,
Charlotte,North Carolina,842051,2457,2068.92,,,
Cleveland,Ohio,385809,5107,1970.33,,,
Honolulu,Hawaii,351792,5573,1960.54,,,
Indianapolis,Indiana,855164,2270,1941.22,,,
Fort Worth,Texas,854113,2181,1862.82,,,
Cambridge,Massachusetts,110651,16469,1822.31,,,
El Paso,Texas,683080,2543,1737.07,,,
Providence,Rhode Island,179219,9676,1734.12,,,
Pittsburgh,Pennsylvania,303625,5521,1676.31,40.4398,79.9766,
Garden Grove,California,174858,9525,1665.52,,,
Buffalo,New York,256902,6471,1662.41,,,
Saint Paul,Minnesota,302398,5484,1658.35,,,
Albuquerque,New Mexico,559277,2908,1626.38,,,
St. Louis,Missouri,311404,5157,1605.91,,,
Mesa,Arizona,484587,3218,1559.4,,,
Oxnard,California,207906,7358,1529.77,,,
Arlington,Texas,392772,3811,1496.85,,,
Atlanta,Georgia,472522,3154,1490.33,33.7629,84.4227,51948
Stockton,California,307072,4730,1452.45,,,
Alexandria,Virginia,155810,9314,1451.21,,,
Omaha,Nebraska,446970,3218,1438.35,,,
Huntington Beach,California,200652,7103,1425.23,,,
Daly City,California,106472,13195,1404.9,,,
El Monte,California,115807,11867,1374.28,,,
Memphis,Tennessee,652717,2053,1340.03,,,
Inglewood,California,110654,12095,1338.36,,,
Bridgeport,Connecticut,145936,9029,1317.66,,,
Chula Vista,California,267172,4915,1313.15,,,
Elizabeth,New Jersey,128640,10144,1304.92,,,
Berkeley,California,121240,10752,1303.57,,,
Raleigh,North Carolina,458880,2826,1296.79,,,
Glendale,California,200831,6295,1264.23,,,
Rochester,New York,208880,5885,1229.26,,,
Tucson,Arizona,530706,2294,1217.44,,,
Riverside,California,324722,3745,1216.08,,,
Tampa,Florida,377165,3077,1160.54,,,
Modesto,California,212175,5456,1157.63,,,
Norwalk,California,106178,10873,1154.47,,,
Cincinnati,Ohio,298800,3810,1138.43,,,
Louisville,Kentucky,616261,1837,1132.07,,,
Norfolk,Virginia,245115,4486,1099.59,,,
Torrance,California,147195,7102,1045.38,,,
Plano,Texas,286057,3630,1038.39,,,
St. Petersburg,Florida,260999,3964,1034.6,,,
Salinas,California,157218,6490,1020.34,,,
Downey,California,113267,9008,1020.31,,,
Colorado Springs,Colorado,465101,2141,995.78,,,
Toledo,Ohio,278508,3559,991.21,,,
Pomona,California,152494,6494,990.3,,,
Jacksonville,Florida,880619,1120,986.29,,,
Sunnyvale,California,152771,6371,973.3,,,
Fontana,California,209665,4621,968.86,,,
Wichita,Kansas,389902,2400,935.76,,,
Garland,Texas,234943,3974,933.66,,,
Glendale,Arizona,245895,3780,929.48,,,
Bakersfield,California,376380,2444,919.87,,,
Chandler,Arizona,247477,3666,907.25,,,
New Haven,Connecticut,129934,6948,902.78,,,
Worcester,Massachusetts,184508,4845,893.94,,,
Aurora,Illinois,201110,4404,885.69,,,
Hartford,Connecticut,123243,7179,884.76,,,
Lowell,Massachusetts,110558,7842,867,,,
Irvine,California,266122,3213,855.05,,,
Fort Lauderdale,Florida,178752,4761,851.04,,,
Fullerton,California,140721,6047,850.94,,,
