,0-unknown,1-extreme left,2-left,3-center left,5-center right,6-right,7-extreme right,mean
trump,0.769656379807,0.769656379807,0.769656379807,0.769656379807,0.769656379807,0.769656379807,0.769656379807,0.769656379807
just,0.656520195222,0.656520195222,0.656520195222,0.656520195222,0.656520195222,0.656520195222,0.656520195222,0.656520195222
said,0.539254952805,0.539254952805,0.539254952805,0.539254952805,0.539254952805,0.539254952805,0.539254952805,0.539254952805
like,0.451718926775,0.451718926775,0.451718926775,0.451718926775,0.451718926775,0.451718926775,0.451718926775,0.451718926775
2016,0.442634999546,0.442634999546,0.442634999546,0.442634999546,0.442634999546,0.442634999546,0.442634999546,0.442634999546
people,0.425292956653,0.425292956653,0.425292956653,0.425292956653,0.425292956653,0.425292956653,0.425292956653,0.425292956653
time,0.407125102194,0.407125102194,0.407125102194,0.407125102194,0.407125102194,0.407125102194,0.407125102194,0.407125102194
new,0.403821855929,0.403821855929,0.403821855929,0.403821855929,0.403821855929,0.403821855929,0.403821855929,0.403821855929
election,0.346015046287,0.346015046287,0.346015046287,0.346015046287,0.346015046287,0.346015046287,0.346015046287,0.346015046287
day,0.331150438093,0.331150438093,0.331150438093,0.331150438093,0.331150438093,0.331150438093,0.331150438093,0.331150438093
