,jobtitle,company,city,location,salarytxt,paybase,summary
0,machine learning engineer (associate) - intelligent solutions,JP Morgan Chase,New+York%2CNY,"New York, NY 10001 (Chelsea area)",NaN,NaN,jp morgan intelligent solutions (jpmis) is a new group considering ways to transform our data assets into opportunities for jpmorgan chase by leveraging the...
1,data science developer,Morgan Stanley,New+York%2CNY,"New York, NY 10032 (Washington Heights area)",NaN,NaN,"as a data scientist developer your role will be a blend of being the link between our fraud analysts and technology, and being a productive member of the..."
2,"quantitative analysis, full time analyst (north america)",Citi,New+York%2CNY,"New York, NY",NaN,NaN,"you're the brains behind our work. you’re ready to bring your knowledge from the classroom to the boardroom, and citi wants to help you get there. whether it"
3,sr data scientist,Fimo Info Solutions LLC,New+York%2CNY,"New York, NY",110000.0,annual,"sr data scientist, nyc*. the data scientist will work closely with cross functional groups to enhance analytical capabilities and develop persuasive..."
4,"tech lead - data scientist, nlp",Grubhub,New+York%2CNY,"New York, NY",NaN,NaN,good understanding of data structures and computational complexity. explore diverse data (structured and unstructured) of large volumes to develop models which...
5,vice president / senior data scientist,BlackRock,New+York%2CNY,"New York, NY 10001 (Chelsea area)",NaN,NaN,"experience with data structures and algorithms and ability to work in a unix environment, processing large amounts of data in a big data environment...."
6,climate and sustainability analyst,DEPT OF ENVIRONMENT PROTECTION,New+York%2CNY,"New York, NY",65977.0,annual,knowledge and practical application of quantitative statistical analysis and geographical data interpretation methods....
7,data analyst,POLICE DEPARTMENT,New+York%2CNY,"New York, NY",79249.5,annual,"extensive knowledge of applied statistics, analytics, machine learning, data science or big data tools...."
8,"analyst - periscope advanced insights - growth mapping, mckinsey solutions",McKinsey & Company,New+York%2CNY,"New York, NY 10022 (Midtown area)",NaN,NaN,"as one of the fastest-growing parts of our firm, new ventures has more than 1,000 dedicated professionals (including more than 800 analysts and data scientists)..."
9,"data scientist, analytics",Facebook,New+York%2CNY,"New York, NY",NaN,NaN,the data scientist analytics role has work across the following four areas:. experience manipulating data sets through statistical software (ex....
10,data science intern - fall 2017,FactSet,New+York%2CNY,"New York, NY 10016 (Gramercy area)",NaN,NaN,"scientist and engineer. extract, transform, and load data. services, and work with state-of-the art stack of data...."
11,senior data scientist / analyst,GS Global Services Inc.,New+York%2CNY,"New York, NY",NaN,NaN,answer complex business questions by using appropriate statistical techniques on available data or designing and running experiments to gather data....
12,sr data scientist,Aetna,New+York%2CNY,"New York, NY 10016 (Gramercy area)",NaN,NaN,"5 or more years of progressively complex data analytic related experience, preferred is health care data...."
13,"senior data scientist - spark, r, python",GS Global Services Inc.,New+York%2CNY,"New York, NY",NaN,NaN,senior data scientist*. the data scientist will work closely with cross functional groups to enhance analytical capabilities and develop persuasive interactive...
14,"data analyst ii, arnhold global health institute",Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,in data mining. data sets for retrospective and prospective studies. direct the movement of data across multiple systems;...
15,"data specialist, bureau of systems strengthening and access",DEPT OF HEALTH/MENTAL HYGIENE,New+York%2CNY,"Queens, NY",65600.0,hourly,"experience and the ability to conduct evaluation and data management activities including, data entry, data analysis and data reporting...."
16,mqa quantitative analyst – cross asset quantitative analytics - director,Citi,New+York%2CNY,"New York, NY",NaN,NaN,"partnering with senior technology professionals to source internally generated data. united states,new york,new york...."
17,data science intern - fall 2017,FactSet Research Systems,New+York%2CNY,"New York, NY 10016 (Gramercy area)",NaN,NaN,just the right kind of work for a passionate data scientist and engineer. the candidate should be a creative data scientist and be interested in the financial...
18,research scientist,Yahoo! Inc.,New+York%2CNY,"New York, NY",NaN,NaN,research scientist in computer vision and deep learning. this is an exciting opportunity to apply your computer vision skills to the 10 terabytes of data that...
19,team lead data scientist - predictive analytics,Grubhub,New+York%2CNY,"New York, NY",NaN,NaN,"good understanding of data structures and computational complexity. explore diverse data sets of large volumes to develop models which help drive complex, real..."
20,assistant research scientist i grade 14 job #17072801,New York State Psychiatry Institute,New+York%2CNY,"New York, NY",32000.0,hourly,"the assistant research scientist is responsible for helping the research project manager and the other project team members with recruitment for focus groups,..."
21,geospatial data scientist,DEPARTMENT OF FINANCE,New+York%2CNY,"Manhattan, NY",75643.0,annual,the property valuation & mapping unit is seeking a geospatial data scientist to provide imagery processing specifically related to the exploitation of lidar and...
22,"data analyst, bureau of immunization/immunization surveillance",DEPT OF HEALTH/MENTAL HYGIENE,New+York%2CNY,"New York, NY",68000.0,hourly,-conduct geographic analysis using cir data. experience in querying and manipulating large volume of healthcare data....
23,growth associate,Via,New+York%2CNY,"New York, NY",NaN,NaN,"as a growth associate, you will collaborate with a multi-disciplinary team of data scientists, engineers, and marketing specialists...."
24,senior data scientist / senior machine learning engineer,Foursquare,New+York%2CNY,"New York, NY",NaN,NaN,ability to collaborate with a diverse set of engineers and data scientists. you will be responsible for everything from data exploration and initial prototyping...
25,associate data science anlyst/engineer,NYU School of Medicine,New+York%2CNY,"New York, NY",NaN,NaN,"suggest innovative solutions to data questions. familiarity with data driven modeling (including gathering and cleaning data, exploratory analysis, implementing..."
26,principal data scientist,Aetna,New+York%2CNY,"New York, NY 10016 (Gramercy area)",NaN,NaN,expertise in advanced analytics tools and languages to analyze large data sets from multiple data sources. preferred experience with healthcare data....
27,"investment research, full time analyst (north america)",Citi,New+York%2CNY,"New York, NY",NaN,NaN,"you're the brains behind our work. you're ready to bring your knowledge from the classroom to the boardroom, and citi wants to help you get there. whether it'"
28,sr. data scientist,United Technologies Corp. Headquarters,New+York%2CNY,"Brooklyn, NY",NaN,NaN,"we are seeking highly motivated data scientists to join our digital accelerator in brooklyn, ny.we are looking for people who have a passion for analyzing and..."
29,senior analyst - data science,1stdibs.com,New+York%2CNY,"New York, NY",NaN,NaN,"as a senior analyst on the data science team, you are part data engineer - structuring elegant data models and navigating etl pipelines that provide the..."
30,senior data scientist,HarperCollins Publishers Inc.,New+York%2CNY,"New York, NY",NaN,NaN,"use mid to large-scale machine learning, data mining and statistical techniques to identify data patterns that drive actionable insights...."
31,senior data scientist,Grubhub,New+York%2CNY,"New York, NY",NaN,NaN,"explore diverse data sets of large volumes to develop models which help drive complex, real time data driven products with real world impact...."
32,senior analyst - data science,1stdibs.com,New+York%2CNY,"New York, NY",NaN,NaN,"as a senior analyst on the data science team, you are part data engineer - structuring elegant data models and navigating etl pipelines that provide the..."
33,sr. data scientist,United Technologies Corp. Headquarters,New+York%2CNY,"Brooklyn, NY",NaN,NaN,"we are seeking highly motivated data scientists to join our digital accelerator in brooklyn, ny.we are looking for people who have a passion for analyzing and..."
34,senior data scientist,Spreemo,New+York%2CNY,"New York, NY",NaN,NaN,"as a senior data scientist at spreemo, you will work with a growing multidisciplinary team of talented data scientists, statisticians, healthcare economists..."
35,research analyst,Paradigm Investigations,New+York%2CNY,"New York, NY",40000.0,hourly,collecting documents and information about customers and market conditions.• researching and verifying background information about customers.• coordinating...
36,senior data analyst,"ExecOnline, Inc.",New+York%2CNY,"New York, NY",NaN,NaN,build regular data reports visualizing and illustrating data. identify areas that require more advanced analytical analysis and work with data scientists to...
37,research project manager,NYU School of Medicine,New+York%2CNY,"New York, NY",NaN,NaN,"familiar with electronic data captures systems such as redcap. coordinates technical trainings relative to program (e.g., data collection software)...."
38,entry level – research analyst/editor/content marketing specialist,"XG Consultants Group, Inc.",New+York%2CNY,"New York, NY 10017 (Midtown area)",24000.0,hourly,"job overview: xg consultants group is looking for a recent graduate who is smart, driven, and a computer savvy individual. candidate should be a strong"
39,senior data engineer,Enterprise Select,New+York%2CNY,"New York, NY 10011 (Chelsea area)",140000.0,annual,"ensure data pipeline provides clean organized, aggregated data into databases for use by data scientists. understanding of data structures and algorithms...."
40,"corporate vice president, lead data scientist (46330)",New York Life Insurance Co,New+York%2CNY,"New York, NY",NaN,NaN,"lead data scientist. is this not why we became data scientists? we work with data ranging from demographics, credit and geo data to detailed medical data..."
41,research scientist,Northwell Health,New+York%2CNY,"New York, NY 10075 (Upper East Side area)",NaN,NaN,"oversee collection of data, analyze data, and report results. medical degree + 1 year of clinical experience...."
42,research analyst (part time),Investopedia,New+York%2CNY,"New York, NY",NaN,NaN,"interpret and prepare visual presentation of data. analyze research and survey results, identifying key insights within the data...."
43,senior data science analyst,AIG,New+York%2CNY,"New York, NY",NaN,NaN,"rater and modeling group in aig commercial underwriting is seeking a data scientist to help us design, structure, execute and implement predictive models...."
44,city research scientist 1,DEPT OF ENVIRONMENT PROTECTION,New+York%2CNY,"Queens, NY",65977.0,annual,"collect asset condition data and costs of various management strategies form other available data sources; compile asset data such as operation, maintenance,..."
45,loyalty - research analyst (entry-level),Ipsos North America,New+York%2CNY,"New York, NY",NaN,NaN,"find new spins on data visualization, attend and learn at the presentation stage. the ideal candidate is a business-minded individual who is interested in and..."
46,research analyst ii,Research Foundation of The City University of New...,New+York%2CNY,"New York, NY",65000.0,annual,work closely with reps data management staff to maintain project-related data sources. familiarity with matching data sets and manipulating large amounts of...
47,associate researcher ii,Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"assists in the collection, analysis and review of experimental data for publication and presentation...."
48,director of analytics,HelloFresh,New+York%2CNY,"New York, NY",NaN,NaN,"5+ years leading teams of analysts, business intelligence, or data scientists. a data junkie:. manage the team of data scientists supporting various teams and..."
49,fixed income research - g10 analyst/associate,Morgan Stanley,New+York%2CNY,"New York, NY 10032 (Washington Heights area)",NaN,NaN,"morgan stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth"
50,associate data science anlyst/engineer,NYU Langone Health,New+York%2CNY,"New York, NY",NaN,NaN,"suggest innovative solutions to data questions. familiarity with data driven modeling (including gathering and cleaning data, exploratory analysis, implementing..."
51,student intern,NYU School of Medicine,New+York%2CNY,"New York, NY",NaN,NaN,"to help the staff with t&e reimbursement requests, data entry, scanning and filing documents, and preparing a reconciliation of the telephone charges...."
52,"instagram - software engineer, machine learning",Facebook,New+York%2CNY,"New York, NY",NaN,NaN,"machine learning, recommendation systems, pattern recognition, large-scale data mining or artificial intelligence...."
53,lead data scientist - aetna new york city,Aetna,New+York%2CNY,"New York, NY 10016 (Gramercy area)",NaN,NaN,explorative in understanding aetna data systems and identifies the right data sources for the problem at hand....
54,"software engineer, machine learning",Facebook,New+York%2CNY,"New York, NY",NaN,NaN,"machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence. develop highly scalable classifiers and tools leveraging..."
55,senior business analyst- underwriting analytics,AIG,New+York%2CNY,"New York, NY",NaN,NaN,"collaborate with colleagues in a variety of roles across aig, from senior business stakeholders to it professionals and data scientists...."
56,"senior scientist, cancer institute",Mount Sinai Health System,New+York%2CNY,"New York, NY 10029 (Yorkville area)",NaN,NaN,"the senior scientist is. senior scientist and associate researcher staff. immunotherapy application, analyzing data and presenting findings...."
